id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
78606.0,click,"521,224",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:20.294000+00:00,14.614,8,521,224,0,0
78635.0,click,"467,227",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:21.332000+00:00,1.038,8,467,227,0,0
78636.0,click,"467,227",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:21.537000+00:00,0.205,8,467,227,0,0
78780.0,click,"489,367",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:27.950000+00:00,6.413,8,489,367,0,0
78782.0,click,"488,367",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:28.164000+00:00,0.214,8,488,367,0,0
78864.0,click,"413,361",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:30.932000+00:00,2.768,8,413,361,0,0
78963.0,click,"759,217",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:35.663000+00:00,4.731,8,759,217,0,0
79000.0,click,"467,222",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:36.608000+00:00,0.945,8,467,222,0,0
79110.0,click,"502,223",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:48.543000+00:00,11.935,8,502,223,0,0
79274.0,click,"375,284",left,"0,0",0.0,0.0,2.0,2025-03-22 05:46:38.772000+00:00,650.229,9,375,284,0,0
79419.0,click,"353,281",left,"0,0",0.0,0.0,2.0,2025-03-22 06:10:42.777000+00:00,1444.005,10,353,281,0,0
79420.0,click,"0,0",left,"0,0",0.0,0.0,2.0,2025-03-22 06:10:46.949000+00:00,4.172,10,0,0,0,0
79422.0,click,"482,367",left,"0,0",0.0,0.0,2.0,2025-03-22 06:10:51.102000+00:00,4.153,10,482,367,0,0
79424.0,click,"332,298",left,"0,0",0.0,0.0,2.0,2025-03-22 06:11:14.283000+00:00,23.181,10,332,298,0,0
79426.0,click,"364,300",left,"0,0",0.0,0.0,2.0,2025-03-22 06:11:20.549000+00:00,6.266,10,364,300,0,0
79428.0,click,"472,374",left,"0,0",0.0,0.0,2.0,2025-03-22 06:11:26.238000+00:00,5.689,10,472,374,0,0
79619.0,click,"57,84",left,"0,0",0.0,0.0,2.0,2025-03-22 06:11:44.036000+00:00,17.798,10,57,84,0,0
79801.0,click,"57,90",left,"0,0",0.0,0.0,2.0,2025-03-22 06:14:27.818000+00:00,163.782,10,57,90,0,0
79903.0,click,"503,290",left,"0,0",0.0,0.0,2.0,2025-03-22 06:28:24.394000+00:00,836.576,11,503,290,0,0
79988.0,click,"558,263",left,"0,0",0.0,0.0,2.0,2025-03-22 06:29:01.167000+00:00,36.773,11,558,263,0,0
